number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_subsample,user_attrs_best_thr,user_attrs_fold_recall_std,user_attrs_oof_auc,user_attrs_oof_f1,user_attrs_oof_recall,state
89,0.25983076157292184,2026-05-15 17:01:59.818244,2026-05-15 17:02:01.076684,0 days 00:00:01.258440,0.6557296086707102,0.059150414001861974,3,45,636,56,0.9639039096507809,0.49,0.0371,0.8062,0.3928,0.8043,COMPLETE
90,0.2601184600197433,2026-05-15 17:02:01.076911,2026-05-15 17:02:02.362038,0 days 00:00:01.285127,0.6737862699786764,0.052058714246617246,3,47,800,48,0.7585979871224158,0.49,0.0237,0.8063,0.394,0.812,COMPLETE
91,0.2533783783783784,2026-05-15 17:02:02.362276,2026-05-15 17:02:03.341546,0 days 00:00:00.979270,0.7746744422163755,0.06414191323005271,3,40,729,44,0.7317111938283575,0.45,0.1521,0.7962,0.3859,0.8089,COMPLETE
92,0.2674897119341564,2026-05-15 17:02:03.341789,2026-05-15 17:02:04.395026,0 days 00:00:01.053237,0.6458557458194137,0.0693393639566331,3,42,940,42,0.7526959937234766,0.5,0.0381,0.8073,0.4011,0.8012,COMPLETE
93,0.26703967446592064,2026-05-15 17:02:04.395269,2026-05-15 17:02:05.425780,0 days 00:00:01.030511,0.6441425889544115,0.06899687636210422,3,42,986,42,0.7533011361556126,0.49,0.028,0.8062,0.4015,0.8089,COMPLETE
94,0.26759116589625065,2026-05-15 17:02:05.426049,2026-05-15 17:02:06.686303,0 days 00:00:01.260254,0.6454965159527205,0.05569502237681528,3,43,980,39,0.7081426882107875,0.5,0.0318,0.8064,0.4014,0.8028,COMPLETE
95,0.25599608418991676,2026-05-15 17:02:06.686530,2026-05-15 17:02:07.863162,0 days 00:00:01.176632,0.6161276014588022,0.06855763064421054,3,44,983,39,0.7422241623573944,0.45,0.1346,0.7964,0.3886,0.8059,COMPLETE
96,0.259861932938856,2026-05-15 17:02:07.863391,2026-05-15 17:02:09.245271,0 days 00:00:01.381880,0.6280099656422633,0.04477309287840871,3,43,955,42,0.7084868317248127,0.49,0.0237,0.8071,0.3937,0.812,COMPLETE
97,0.266359918200409,2026-05-15 17:02:09.245508,2026-05-15 17:02:10.412170,0 days 00:00:01.166662,0.6514575509072432,0.058398438770497565,3,42,981,36,0.7518176755870862,0.5,0.0349,0.8076,0.4,0.8028,COMPLETE
98,0.25922282341367436,2026-05-15 17:02:10.412402,2026-05-15 17:02:11.583469,0 days 00:00:01.171067,0.65286502034013,0.06094027647192385,3,46,976,36,0.7257931312356516,0.47,0.046,0.8035,0.393,0.812,COMPLETE
99,0.261,2026-05-15 17:02:11.583944,2026-05-15 17:02:12.535855,0 days 00:00:00.951911,0.854087289883166,0.0675121069574802,3,41,989,34,0.7354295679575412,0.48,0.0424,0.8007,0.3941,0.8043,COMPLETE
